Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,UnknownChannel
249,-11,4,-19,1
250,-5,-1,0,-8
251,-8,-1,-11,-6
252,0,-14,1,-8
253,-12,-2,5,-16
254,-5,-6,0,-9
255,-5,5,-13,0
256,-9,3,-8,-6
257,6,-15,-2,-6
258,0,-9,-9,-3
259,-3,-16,6,-9
260,-9,-5,0,-3
261,0,-23,6,-7
262,-12,1,-6,-4
263,-2,-18,0,-8
264,0,-10,-6,-5
265,-6,-7,1,-13
266,-14,1,-3,-9
267,-5,-2,-6,-6
268,-10,0,-13,-5
269,-8,2,-12,-5
270,-10,-5,-1,-7
271,-4,-3,3,-16
272,-10,4,-9,0
273,0,-27,7,-11
274,-7,7,-20,0
275,-5,-9,-3,1
276,-5,-13,-2,-2
277,-9,-10,3,-11
278,-1,-4,0,-6
279,-11,1,-17,0
280,-15,0,0,-13
281,-4,-9,1,-10
282,-7,-7,6,-10
283,-11,4,-16,0
284,-12,4,-5,-8
285,-13,-1,2,-10
286,-4,-5,-8,-6
287,-4,-2,-7,-4
288,-7,-3,-7,-3
289,-6,-2,1,-10
290,-8,-3,-3,-11
291,-15,12,-12,-3
292,-7,-1,-1,-9
293,-8,10,-16,-3
294,-6,-2,-9,-3
295,2,-23,17,-12
296,-1,-1,-5,-6
297,-9,-2,-13,2
298,-7,-13,11,-10
299,-4,-14,6,-8
300,-12,2,-14,5
301,-19,13,-21,3
302,-2,0,-13,0
303,0,-16,9,-13
304,-4,0,-6,1
305,-18,0,1,-10
306,-8,-5,-9,-2
307,-4,-4,-6,-5
308,-9,4,-13,-2
309,-2,-15,3,-9
310,6,-15,1,-7
311,-7,0,-9,-8
312,-11,6,-16,0
313,-9,-7,-4,-5
314,-4,-7,-2,-5
315,0,-6,-5,-7
316,-1,-14,6,-16
317,-7,-3,1,-7
318,-6,0,-9,-2
319,-14,12,-11,-3
320,-5,-12,8,-8
321,-7,1,4,-13
322,-2,8,-9,4
323,-8,7,-5,0
324,-5,0,-1,0
325,3,-4,0,-6
326,1,-4,4,-4
327,9,-15,13,-4
328,-3,10,-6,-1
329,-4,-2,0,2
330,4,-7,-1,5
331,1,6,-3,-5
332,-6,-6,15,-8
333,0,0,-2,0
334,-6,3,2,0
335,-10,7,-7,-1
336,-10,12,-6,-5
337,-2,-8,0,-4
338,-8,3,-9,0
339,0,-14,9,-9
340,0,-1,-4,-7
341,-3,-2,-5,-4
342,-5,-2,-2,-1
343,0,-5,-12,-1
344,-6,-13,6,-9
345,-2,0,-13,3
346,-12,0,-2,-3
347,-9,9,-16,-2
348,-10,1,-2,-4
349,0,-9,4,-2
350,4,-22,12,-10
351,2,-3,-10,-6
352,-17,10,-9,-2
353,-5,-8,-1,-5
354,-8,-5,0,-2
355,-2,-2,-4,-3
356,-6,-4,-5,-2
357,-14,4,0,-5
358,-4,-13,9,-6
359,-4,-6,-6,0
360,-8,-2,2,-8
361,-5,-11,7,-9
362,-7,7,-7,0
363,-5,0,0,-7
364,-18,12,-10,-9
365,-4,-9,12,-17
366,-4,-2,-2,-10
367,-10,-2,0,-3
368,-2,-16,8,-12
369,-2,-6,0,-11
370,3,-5,-9,-1
371,4,-20,0,0
372,-3,-5,-2,-4
373,-4,-9,4,-11
374,-6,0,-1,0
375,-17,14,-16,2
376,6,-30,26,-8
377,-5,2,-5,-1
378,-7,4,-11,2
379,7,-19,5,-3
380,1,-16,7,-7
381,-8,7,-10,0
382,-4,-2,-5,-4
383,-8,-8,7,0
384,0,-3,0,-9
385,0,-8,9,-8
386,-11,0,5,-8
387,-9,6,-15,0
388,-7,-2,4,-6
389,7,-12,11,-14
390,-3,-10,5,-4
391,4,-17,11,-15
392,0,-2,-2,-2
393,1,-16,12,-9
394,-1,-7,6,-6
395,-6,2,-6,1
396,-6,-4,-3,-6
397,-4,0,-12,-1
398,1,-6,-2,-6
399,-7,6,-11,-3
400,-4,1,-6,-4
401,-6,-8,11,-16
402,-1,-16,8,-11
403,0,-7,0,-6
404,4,-28,14,-11
405,-9,-3,3,-11
406,-9,2,-6,-4
407,6,-20,4,-11
408,-17,13,-12,-4
409,-12,2,-11,-3
410,-11,-6,2,-8
411,-12,-1,1,-11
412,-5,-6,-4,0
413,-3,-23,17,-12
414,-4,-2,0,-11
415,-1,-15,8,-13
416,-7,-13,9,-3
417,-7,-6,0,-7
418,-12,2,-9,-1
419,1,-10,3,-5
420,0,-14,7,-5
421,-6,0,-14,5
422,-6,-5,0,-10
423,-8,2,-5,-7
424,-10,6,-3,-11
425,-6,3,-10,-1
426,0,-13,14,-11
427,3,-13,5,-6
428,-7,-3,-3,-5
429,-13,1,-1,-9
430,-6,-2,-5,-1
431,-11,5,-7,-4
432,2,-19,5,-3
433,-3,-6,7,-9
434,-3,-9,-5,-3
435,1,-15,6,-10
436,-7,9,-18,-2
437,-5,4,-13,0
438,-5,1,-13,-1
439,-5,-15,16,-18
440,-5,-2,-7,-7
441,-8,12,-12,-3
442,3,-7,-2,-3
443,-5,-4,-5,-2
444,-1,-13,3,-14
445,-9,-5,7,-7
446,-4,-6,2,-6
447,-9,0,-1,-6
448,-1,-5,0,-5
449,0,-14,6,-8
