Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,UnknownChannel
251,-17,11,-20,8
252,-2,-10,0,-3
253,-6,8,-25,0
254,-7,-10,-4,-3
255,-8,-1,-19,-1
256,-9,0,-13,-4
257,-10,-10,1,-5
258,-16,0,-12,0
259,-3,-10,-2,-12
260,-5,3,-14,1
261,-3,-1,-19,0
262,-8,-6,-5,-2
263,-10,-7,8,-15
264,-13,-2,-11,-4
265,-11,-1,-5,-2
266,-10,-3,1,-11
267,-10,-5,-2,-2
268,-7,4,-14,7
269,-6,4,-25,6
270,-10,-2,-7,-7
271,4,-12,-11,1
272,-3,-7,0,-12
273,1,-14,-7,2
274,0,-17,-6,-1
275,-10,0,-8,-6
276,-21,4,-7,-5
277,-8,4,-19,0
278,-23,14,-26,5
279,-13,2,-12,1
280,-8,7,-27,6
281,-4,-12,-1,-9
282,-2,-14,2,-12
283,-5,-4,-16,5
284,-7,-8,-3,0
285,-8,4,-16,4
286,-15,4,-14,-5
287,-6,6,-23,0
288,0,-6,-14,4
289,-3,-5,-14,1
290,-13,6,-16,5
291,-23,6,-3,-10
292,-2,-18,7,-8
293,-2,-19,9,-13
294,-21,0,-6,0
295,-16,-8,9,-9
296,-10,1,-15,0
297,-11,-2,-5,-7
298,0,-4,-12,0
299,-4,-2,-10,-5
300,-12,-1,-6,-9
301,-5,7,-22,3
302,-10,0,-16,0
303,-12,0,-3,-7
304,5,-22,-5,0
305,-19,19,-25,1
306,-9,0,-12,0
307,-8,3,-18,4
308,-8,1,-7,-7
309,0,-18,10,-11
310,-15,17,-32,4
311,-12,6,-20,-1
312,-9,-1,-11,0
313,-5,-8,-12,0
314,-10,-2,-3,-9
315,-2,-6,-12,2
316,-6,0,-10,-5
317,-7,-3,-17,4
318,3,-3,-13,-3
319,-2,-2,-29,7
320,-4,-2,-12,-3
321,-6,10,-22,5
322,-12,-4,-11,0
323,-16,4,-12,4
324,-6,-1,-5,0
325,-17,23,-29,15
326,-3,-4,-5,7
327,-3,3,-11,7
328,-2,0,-3,0
329,3,7,-10,8
330,3,-2,7,-1
331,2,0,-5,2
332,-10,16,-12,12
333,5,6,-16,15
334,3,-6,8,8
335,4,0,-4,11
336,-8,13,-14,14
337,-3,13,-14,10
338,-7,10,-20,8
339,-12,14,-9,8
340,-2,-3,-5,0
341,-8,1,-10,4
342,-17,7,-14,2
343,-7,16,-31,8
344,-10,7,-17,3
345,-5,-1,-10,-2
346,-3,-7,0,0
347,-11,0,-3,-1
348,-8,6,-9,-10
349,0,-5,-15,7
350,2,-5,-17,7
351,-5,-2,-13,7
