Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,UnknownChannel
1,0,3,-1,6
2,-4,10,-10,-1
3,0,2,0,-1
4,3,-17,15,-9
5,-13,6,-4,3
6,-8,7,-10,0
7,4,-14,5,-5
8,0,-3,5,-1
9,-10,12,-1,-5
10,-10,17,-20,11
11,-4,-11,10,2
12,-1,-6,-1,-2
13,-4,-1,8,-8
14,0,-2,-6,0
15,-3,-10,11,-6
16,-4,14,-15,8
17,-3,6,-10,2
18,-7,8,-2,2
19,0,-11,2,-4
20,-5,15,-14,6
21,-7,6,-3,-5
22,-5,-3,-7,5
23,-4,-1,-4,-2
24,0,-5,4,-2
25,-1,2,2,-8
26,-8,-1,7,-3
27,3,-8,7,-9
28,-1,-2,2,-3
29,0,7,-10,2
30,-4,-10,7,-6
31,-11,13,-12,6
32,-16,8,-5,-4
33,-3,-10,11,-1
34,-1,3,-12,10
35,-7,11,-9,-2
36,-6,-3,4,-3
37,-1,2,-3,0
38,-8,6,-3,-6
39,-6,0,0,-3
40,-7,5,-3,-7
41,9,-16,17,-11
42,-5,5,-3,2
43,-6,19,-15,2
44,-3,1,-10,1
45,-2,0,0,-1
46,-4,7,-18,6
47,-4,-8,6,-7
48,-9,10,-14,1
49,-3,-11,10,-4
50,-5,-6,0,-3
51,-1,-1,-1,-2
52,-14,14,2,-8
53,1,-23,18,-7
54,2,-15,6,-5
55,-9,1,0,-6
56,-6,-2,-4,3
57,-5,10,-14,0
58,-11,5,-2,-2
59,3,-10,-6,0
60,2,-22,8,-8
61,-10,6,-6,-3
62,-10,2,-3,-4
63,0,-15,4,-7
64,-6,7,-2,-9
65,3,-13,13,-8
66,2,-2,-5,0
67,0,-11,6,-3
68,-6,0,-6,0
69,-5,4,0,-1
70,-4,-7,10,-11
71,-6,-5,10,-8
72,-3,-11,5,0
73,-9,4,0,0
74,4,-10,-5,-4
75,-10,12,-10,8
76,9,-19,-1,-6
77,-6,-1,-6,-6
78,-5,-14,4,-7
79,-2,-9,10,-3
80,-2,-7,4,0
81,-3,7,-8,-4
82,-5,1,0,-4
83,-6,-2,1,-5
84,4,-15,9,-11
85,-4,9,-19,2
86,-6,1,-6,-5
87,-17,21,-2,-4
88,-7,0,8,-13
89,-2,-3,8,-4
90,-11,0,9,-7
91,-2,-16,6,0
92,7,-20,9,-7
93,-9,-3,0,-1
94,-6,0,-3,-6
95,-5,6,-16,0
96,-3,-6,7,-8
97,-6,-1,-4,0
98,-2,-4,-4,-4
99,-5,3,-12,0
100,-2,0,-8,0
101,-6,0,0,0
102,-2,-14,4,-6
103,-3,-9,5,-9
104,-1,-10,1,-8
105,-17,11,-7,-1
106,-3,1,-6,-3
107,-7,-7,6,-6
108,5,-16,12,-9
109,7,-15,2,-6
110,6,-5,3,-7
111,-1,-5,4,-8
112,-8,1,-2,-1
113,-4,7,-10,-4
114,-3,2,-7,-2
115,0,-3,-8,0
116,-10,6,-1,-7
117,-8,6,-9,-6
118,-3,-18,9,-10
119,-18,19,-12,-3
120,-9,-4,3,-6
121,-10,12,-16,5
122,-7,2,-8,0
123,-5,3,-4,1
124,0,-11,6,-11
