Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,UnknownChannel
1,4,-2,3,-3
2,-1,-4,3,-1
3,-6,9,-9,0
4,6,-8,0,-2
5,2,-14,2,-10
6,0,0,-4,5
7,-6,3,-1,2
8,-6,16,-7,0
9,-5,12,-6,1
10,-1,-4,6,0
11,-7,0,2,-1
12,-4,5,-4,0
13,-1,-1,2,-2
14,0,4,-3,0
15,-4,-2,6,-6
16,3,0,-8,0
17,-10,5,-6,4
18,0,-3,5,-4
19,-4,2,-7,0
20,-4,11,-13,3
21,0,2,-7,5
22,-5,-9,1,0
23,-4,2,-3,-3
24,-8,2,-8,10
25,3,-9,-4,3
26,2,0,-5,3
27,-4,0,4,-4
28,-5,0,1,0
29,-13,17,-8,6
30,0,-21,19,-7
31,-4,-3,4,0
32,0,0,-2,7
33,2,-21,20,-12
34,4,-5,7,-10
35,-2,-5,10,-6
36,1,6,-9,-3
37,-9,6,-2,-6
38,1,-6,2,-6
39,-7,1,0,3
40,-4,-3,9,-9
41,-3,0,0,-8
42,0,-5,8,-5
43,0,1,-2,3
44,6,-8,0,-8
45,-14,19,-12,7
46,0,-13,8,-1
47,-4,-3,3,-5
48,-8,5,-3,0
49,4,-24,17,0
50,6,-7,9,-7
51,0,-4,2,-8
52,4,-14,0,2
53,-2,1,-5,2
54,-8,-5,10,-6
55,-11,7,-2,-4
56,6,-3,-9,2
57,8,-8,2,-5
58,-10,7,-3,-2
59,-9,-4,13,-12
60,0,-12,5,1
61,-10,13,-7,-1
62,-2,-8,0,1
63,3,-8,5,-11
64,-7,7,-7,-5
65,-3,0,-3,-1
66,0,-2,6,-3
67,-9,15,-17,5
68,-12,2,2,-11
69,-8,0,10,-7
70,-4,-6,6,-4
71,1,-5,-10,-1
72,-2,2,2,-6
73,5,-14,12,-2
74,3,-8,0,-5
75,0,-11,0,-1
76,0,-6,8,-10
77,7,-9,2,-2
78,-4,1,-2,-4
79,-6,0,0,-4
80,-1,-1,2,-4
81,0,-19,11,-9
82,-1,-16,9,-3
