Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,UnknownChannel
253,0,-14,0,-8
254,-5,-5,-2,-8
255,5,-21,7,-2
256,-4,-17,21,-14
257,-2,-2,-10,-2
258,-2,-14,9,-13
259,-5,-9,7,-9
260,0,-15,0,-5
261,-6,-1,-6,-1
262,-5,-5,-6,-3
263,-3,-4,-3,-3
264,-17,8,-4,-6
265,-8,-9,9,-15
266,-8,-6,0,-9
267,-6,-1,-4,-8
268,-2,-11,0,-2
269,-12,5,-14,-4
270,0,-10,-3,-4
271,-1,-9,6,-13
272,-3,-8,1,-10
273,-2,-5,1,-9
274,-16,8,0,-11
275,-12,-1,4,-5
276,7,-24,0,-8
277,-1,-9,-4,-9
278,-6,-13,9,-14
279,2,-20,6,-8
280,-7,-5,-2,-1
281,0,-16,12,-17
282,-6,-6,3,-10
283,-6,-2,1,-10
284,0,-20,11,-11
285,-5,-5,0,-14
286,0,-4,-7,-3
287,-9,-6,10,-11
288,-2,-4,-4,-13
289,-1,0,-10,-5
290,1,-22,7,-11
291,0,-13,-3,-5
292,-4,-5,-8,-5
293,0,-13,-2,-8
294,-5,-27,17,-13
295,-5,-3,0,-7
296,-13,12,-14,-8
297,-3,-8,-12,-7
298,-14,-4,-3,-5
299,0,-5,-13,-3
300,-2,-9,4,-11
301,-4,5,-15,-2
302,2,-10,0,-6
303,2,-20,8,-7
304,-2,-19,14,-5
305,0,-6,-8,-8
306,-1,-7,-3,-6
307,-8,-1,-1,-8
308,3,-25,6,-6
309,0,-12,0,-5
310,-6,-13,5,-16
311,-6,-9,0,-11
312,-4,-3,-11,-5
313,-5,-21,19,-15
314,-7,-12,13,-18
315,-17,0,1,-11
316,-11,-2,3,-12
317,-7,0,-16,0
318,-1,-4,-6,-9
319,-15,12,-18,-6
320,-8,-3,-2,-4
321,4,-15,1,-5
322,-2,-22,10,-7
323,0,-10,1,-13
324,-7,-6,-4,-5
325,-11,8,-8,-8
326,-10,-5,-2,-8
327,-9,0,-6,-8
328,0,-11,5,-14
