Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,UnknownChannel
1,-3,-7,14,-5
2,0,7,-20,2
3,-5,1,2,-2
4,1,6,-18,5
5,1,-7,-3,0
6,-2,-5,5,-10
7,-6,2,-3,-4
8,-1,-7,2,-2
9,-4,2,-11,4
10,-13,8,-7,-4
11,-4,8,-19,3
12,-4,-7,12,-5
13,3,-4,-4,1
14,-1,-3,-9,0
15,2,-9,-7,5
16,-6,2,-9,0
17,-18,13,-4,2
18,-6,2,-6,-6
19,7,-10,2,1
20,10,-17,4,-3
21,3,-2,-1,-2
22,1,-16,12,2
23,-9,8,-7,-1
24,9,-10,3,-6
25,0,1,-10,-2
26,-8,8,-16,3
27,-7,4,-7,0
28,-7,0,-4,-3
29,1,-5,-9,3
30,4,-4,-7,0
31,-10,2,0,2
32,-10,-5,2,-4
33,2,-15,11,-7
34,0,-1,-3,1
35,-2,-11,7,-3
36,3,-14,13,-9
37,-5,2,-7,0
38,0,-2,0,-7
39,0,-6,2,-7
40,0,-9,14,-13
41,8,-17,9,-1
42,9,-10,0,-2
43,-3,-6,0,-4
44,-6,4,-9,-2
45,-2,2,-15,3
46,-5,-4,0,-1
47,0,-15,9,-2
48,-5,-5,5,-5
49,-7,-4,10,-11
50,-9,9,-12,3
51,-6,1,-10,0
52,-3,-5,1,-3
53,3,-4,2,-7
54,-4,-3,-3,-1
55,-4,5,-9,-1
56,0,-4,-1,-7
57,2,-8,1,-3
58,-13,12,-5,1
59,-3,4,-8,0
60,-12,0,2,-3
61,-4,3,-5,-3
62,-4,0,3,-5
63,-1,1,-5,-2
64,-5,3,-8,1
65,-2,1,-8,2
66,-3,0,-8,0
67,-3,-12,-2,4
68,-3,-8,0,-3
69,-3,6,-10,-6
70,-10,1,-9,7
71,0,0,-2,-7
72,-13,-4,18,-14
73,-3,0,-1,-4
74,-13,18,-22,3
75,3,-6,-2,0
76,-3,9,-28,7
77,0,-5,0,-2
78,-6,10,-24,5
79,-5,-2,-10,6
80,2,-21,12,-11
81,-12,16,-22,4
82,-9,9,-9,-2
83,-1,-6,-3,-8
84,-3,1,-7,-3
85,8,-15,2,-10
86,-3,0,-15,1
87,-8,1,5,-7
88,0,-10,0,-8
89,-9,2,-4,-4
90,-6,-8,6,-11
91,-5,6,-4,-4
92,-1,-9,-5,-2
93,-5,-2,-3,1
94,-9,0,4,-4
95,-6,5,-8,-7
96,-2,-6,3,-6
97,-8,2,-4,-9
98,-7,4,-23,0
99,-2,-6,-12,1
100,-8,0,-4,-5
101,-1,-8,0,-3
102,-7,-5,9,-14
103,-8,3,-5,-5
104,-8,4,-8,-4
105,-15,8,1,-6
106,-7,-7,9,-6
107,-5,-3,-2,1
108,-10,-7,8,-12
109,-10,7,-3,-6
110,0,2,-10,-4
111,-9,5,-20,2
112,-8,2,-7,-1
113,-3,-5,-2,-3
114,-3,8,-25,7
115,1,-1,-3,-6
116,-6,3,-8,1
117,-13,26,-29,11
118,-11,10,-10,-5
119,-16,14,-13,1
120,-7,-5,6,-11
121,0,-7,-2,-10
122,-3,-4,-8,-1
123,-5,0,-6,0
124,-8,-2,8,-12
125,-6,3,-14,-3
126,0,-3,-16,5
127,-15,15,-21,5
128,-6,2,-13,3
129,-4,-7,0,-8
130,-1,-17,7,-10
131,5,-4,-14,3
132,-11,13,-14,-1
133,-5,-8,-4,1
134,-6,-13,13,-9
135,-4,-11,0,-9
136,-8,3,0,-7
137,-10,2,-6,-1
138,-3,-2,-4,-6
139,-8,-5,3,-2
140,-3,0,-7,-2
141,-3,-8,1,-4
142,-2,-7,-5,0
143,-6,1,-1,-6
144,-1,-13,1,-4
145,-6,-3,-5,-3
146,-10,1,7,-11
147,-8,-9,0,-5
148,2,-12,3,-2
149,-2,-3,-14,3
150,-2,-1,-2,-18
151,-10,3,-9,-5
152,-3,-3,-6,-11
153,-2,0,-8,2
154,-3,0,-4,-7
155,-1,-5,-3,-8
156,-8,-2,0,-8
157,-6,-5,-4,-6
158,-6,7,-15,-4
159,0,-8,8,-11
160,-11,10,-6,-6
161,4,-7,-5,-10
162,-9,-6,1,-7
163,-10,-6,2,-8
164,-1,-1,-23,3
165,-4,2,-19,-3
166,-5,0,-11,-2
167,-12,-4,-2,-7
168,-7,-5,1,-6
169,-7,-2,2,-11
170,-2,-5,-7,-6
171,-8,0,-14,-3
172,-19,22,-26,0
173,-12,3,-12,-7
174,-2,0,-13,-4
175,5,-23,11,-14
176,-15,6,-7,-1
177,-3,-7,0,-7
178,-9,-13,0,-8
179,-5,-8,1,-9
180,0,-10,-1,-4
181,-9,-2,-1,-4
182,-6,-4,-6,0
183,3,-14,7,-8
184,3,-7,-4,4
185,-4,-10,2,-6
186,1,-4,-5,-5
187,-15,0,4,-10
188,-2,-1,-12,-2
189,-4,-8,-1,-1
190,-9,-1,3,-13
191,-10,7,-10,0
192,-2,-6,-3,-9
193,-8,-2,-11,0
194,-9,10,-4,-3
195,-4,7,-12,3
196,-9,13,-8,-7
197,-6,-15,9,-2
198,-11,21,-25,6
199,-6,-1,0,-8
200,2,-24,9,-7
201,-1,-11,5,-5
202,-13,10,-14,2
203,5,-9,-11,0
204,-6,-4,-3,-8
205,-12,16,-24,0
206,-7,-2,-2,1
207,5,-18,6,-4
208,-10,23,-34,14
209,-11,6,-18,0
210,-5,0,-8,0
211,-5,-12,6,-5
212,-7,3,-4,-1
213,-6,0,-5,3
214,7,-17,4,-8
215,-9,6,-6,-2
216,-12,17,-25,7
217,-10,7,-14,3
218,-5,15,-16,-1
219,1,-3,-9,6
220,5,-16,4,-5
221,-7,1,-13,1
222,-4,-8,12,-12
223,0,-7,-5,3
224,-4,-4,-11,0
225,-2,-8,-2,2
226,-6,-6,-7,3
227,-14,3,-14,0
228,-8,-3,-5,-6
229,-11,0,-9,-3
230,-1,-7,-6,-3
231,-11,7,-13,-5
232,-11,4,-7,-3
233,0,-19,0,-6
234,-6,1,-11,3
235,0,-13,-1,0
236,0,-17,1,-4
237,-9,4,-11,-3
238,-7,3,-9,0
239,0,-9,0,-6
240,-13,-7,7,-6
241,-4,-3,-9,-1
242,1,-13,0,-8
243,-3,-7,-11,-1
244,-6,-11,4,-7
245,-4,-12,12,-15
246,-7,-7,5,-6
247,-13,3,-13,1
248,-7,1,-13,-4
249,0,-4,-9,-3
250,-14,0,0,-9
251,5,-13,-2,-6
252,-10,4,-9,0
253,7,-22,0,-8
254,-11,4,-8,-5
255,-9,4,-16,3
256,-6,-3,-6,-4
257,4,-4,-13,-7
258,-16,11,-10,-4
259,4,-23,2,-3
260,-10,6,-13,0
261,-2,8,-18,3
262,-8,3,-13,-4
263,-6,0,-8,-6
264,-7,-3,0,-7
265,-10,-6,-3,0
266,-9,2,-13,-3
267,-7,1,-11,-8
268,-5,1,-18,-1
269,-7,1,-14,-1
270,-1,-11,-8,-3
271,8,-23,-2,-12
272,-3,-17,-7,0
273,0,-10,-9,-1
274,-4,-1,-9,-3
275,-7,0,-12,0
276,5,-24,7,-12
277,-13,11,-21,1
278,0,-14,-2,-8
279,-10,-2,-6,-3
280,-6,7,-17,0
281,-20,7,-7,-5
282,-2,-4,-5,-5
283,-3,-10,0,-1
284,-8,-8,1,-7
285,-10,13,-13,0
286,0,-2,1,-9
287,-8,2,4,-6
288,-6,-1,5,1
289,5,-12,13,-6
290,-6,14,-16,5
291,1,-3,3,-2
292,3,1,-2,3
293,5,-8,2,4
294,8,-16,6,2
295,-7,1,4,2
296,-10,12,-1,2
297,-8,8,-7,4
298,0,8,-11,6
299,-11,13,-16,2
300,-2,5,-19,7
301,-3,-3,-9,-2
302,7,-17,0,-4
303,-7,-3,1,-4
304,1,-15,9,-6
305,-4,-2,-4,-6
306,-5,-9,2,-11
307,-4,7,-25,3
308,-4,9,-18,-5
309,-7,7,-18,5
310,1,-9,0,-4
311,-4,-1,-1,0
312,-9,-5,-3,0
313,2,-14,-4,-6
314,-10,1,-5,-2
315,-6,-5,-2,3
316,0,-17,6,-10
317,2,-10,-15,2
318,-1,-9,-7,0
319,-2,-1,-20,2
320,-8,13,-23,1
321,4,2,-20,-4
322,-6,0,-7,-6
323,-2,-8,1,-5
324,-7,-12,8,-9
325,2,-9,-4,-2
326,-6,-6,-11,0
327,-2,-5,-7,-5
328,3,-14,-2,-1
329,-9,2,-7,-3
330,-4,-8,-2,-1
331,0,-8,-5,0
332,-3,3,-15,0
333,-5,-6,-2,-12
334,-12,2,-4,-1
335,-3,-8,3,-9
336,-15,18,-27,4
337,-7,6,-28,12
338,-5,-4,-11,0
339,3,-7,-8,-2
340,-4,8,-23,5
341,-13,8,-12,0
342,3,-13,2,-11
343,-3,-5,-9,-7
344,-4,2,-16,-4
345,-1,-8,0,-8
346,2,-21,2,-4
347,-7,-12,9,-12
348,-11,8,-14,0
349,-4,10,-18,0
350,-7,0,-10,-2
351,-4,0,-10,7
352,-4,8,-16,4
353,-11,-3,3,-4
354,-7,12,-19,-3
355,-9,11,-13,3
356,-1,-13,6,-8
357,-11,5,-7,-3
358,-12,-5,0,-7
359,-1,-10,4,-8
360,1,-19,5,-1
361,-15,10,-12,-1
362,-7,-5,7,-12
363,-4,0,-10,1
364,-11,12,-13,0
365,-4,-6,-7,3
366,-9,-3,-1,0
367,3,-14,-12,2
368,-8,4,-13,-6
369,-8,-4,6,-7
370,-10,14,-23,0
371,-5,-2,0,-6
372,-7,1,-17,7
373,-3,11,-22,8
374,-5,-6,-3,-3
375,1,-10,-1,-3
376,-10,-5,5,-1
377,-5,5,-10,0
378,-5,3,-12,-1
379,-10,4,-11,10
380,-2,-5,-2,-10
381,-8,10,-15,8
382,-9,-5,3,-3
383,-5,-7,2,-1
384,-3,-4,-3,0
385,-1,0,-9,5
386,0,-3,-9,0
387,-3,-5,-7,-2
388,-6,1,-7,-1
389,-4,-18,15,-15
390,-15,15,-27,3
391,-7,3,-10,-2
392,-4,-1,-4,0
393,0,-9,0,1
394,1,-15,4,-5
395,-9,-3,-1,5
396,-2,-6,2,-12
397,4,-9,-12,-9
398,3,-9,-2,-2
399,-6,9,-6,-4
400,-5,-1,-12,3
401,-7,-5,-8,-1
402,-14,-4,-1,-1
403,-10,-9,9,-12
404,0,-10,-3,-1
405,-10,7,-15,-5
406,-2,-13,2,-9
407,-15,5,-5,-12
408,-6,-4,-9,-6
409,-11,4,-7,-4
410,-3,-13,0,-8
411,-11,9,-13,1
412,-3,-2,-4,1
413,-8,-5,7,-9
414,-15,15,-18,-5
415,-6,0,-21,4
416,0,-4,-6,-10
417,-8,0,-15,-4
418,-13,20,-28,0
419,-6,9,-22,9
420,0,-9,-1,-6
421,-8,8,-19,0
422,0,-1,-25,7
423,-16,12,-14,0
424,-11,11,-17,4
425,-1,-1,-16,0
426,-8,-4,-2,0
427,-18,12,0,-2
428,-8,0,-3,-2
429,-21,15,-23,0
430,-11,3,-4,-3
431,-9,6,-25,0
432,3,-3,-16,-1
433,-1,7,-29,11
434,-13,10,-14,1
435,-8,1,-15,5
