Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,UnknownChannel
1,0,-8,5,0
2,11,-28,19,-6
3,1,-13,10,-6
4,8,-8,-2,-2
5,-1,-4,2,-5
6,0,-9,15,-11
7,0,-12,3,-1
8,-2,1,2,-4
9,0,-13,8,-4
10,4,-10,7,-3
11,-8,3,5,-7
12,-2,-4,3,1
13,7,-27,19,-12
14,-2,4,0,-3
15,0,3,-4,-3
16,0,-6,2,-9
17,-1,1,0,2
18,-11,19,-7,-4
19,1,-12,9,-6
20,1,-12,9,-6
21,2,-12,5,-4
22,0,-20,24,-17
23,1,-4,5,-2
24,1,-5,0,0
25,-1,0,-2,-2
26,6,-8,2,-13
27,-4,-5,11,-11
28,-2,-5,-2,0
29,0,-18,20,-6
30,-3,-2,0,0
31,-4,2,-10,2
32,-2,-12,14,-15
33,-7,-2,0,1
34,4,-25,27,-11
35,3,-14,9,-1
36,-7,-1,6,-4
37,-1,-5,0,-3
38,-8,4,0,-5
39,0,-7,-2,0
40,4,-19,12,-7
41,-6,2,-3,2
42,2,-17,19,-8
43,-1,-6,7,-4
44,-1,-7,0,4
45,0,-5,0,-6
46,0,-11,0,1
47,5,-8,-7,2
48,0,-9,4,-6
49,1,-13,9,-4
50,8,-15,7,-11
51,-1,-10,7,-1
52,-4,-9,13,-11
53,-1,-1,5,-11
54,-2,-6,1,-5
55,-8,9,-8,4
56,1,-13,10,-6
57,6,-26,24,-11
58,5,-15,8,-8
59,-1,-7,0,5
60,-2,-12,7,-8
61,1,-16,7,-1
62,-10,-1,14,-13
63,-2,3,-18,2
64,12,-20,5,-3
65,-3,-11,13,-13
66,-2,-5,5,-3
67,-9,-6,-5,-4
68,1,-13,5,-8
69,-1,-21,16,-9
70,-1,-12,3,-8
71,0,-9,13,-11
72,2,-8,0,-1
73,-9,2,2,-3
74,-3,4,-11,2
75,0,-7,0,0
76,-1,-1,-3,0
77,-2,-10,10,-11
78,-3,1,-5,-3
79,-6,-2,8,-11
80,0,-10,6,2
81,-1,-5,3,-9
82,-9,9,-4,2
83,4,-18,10,-2
84,0,-4,-2,-4
85,-1,-8,3,-10
86,0,-11,0,-2
87,3,-11,1,-1
88,-4,-3,-7,1
89,5,-14,9,-11
90,1,-20,19,-12
91,2,-21,22,-16
92,4,-5,-6,-5
93,-1,-8,5,-9
94,0,-3,-1,-1
95,-2,7,-6,-7
96,0,-8,0,-7
97,8,-19,7,-5
98,-3,0,0,-7
99,-3,-8,5,-8
100,-2,-9,0,0
101,-5,0,0,-5
102,3,-8,-1,2
103,-5,8,-6,0
104,9,-21,5,0
105,1,-17,5,-7
106,-6,2,-4,-5
107,2,-9,-5,2
108,0,0,-7,0
109,3,-12,5,-2
110,0,-14,5,-5
111,5,-26,25,-16
112,3,-12,4,-8
113,-2,0,-4,-7
114,8,-22,0,4
115,-1,-14,8,-7
