Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,UnknownChannel
252,-7,-12,5,-8
253,-11,-5,12,-15
254,-6,-8,4,-9
255,-10,0,2,-6
256,-7,-2,-3,-7
257,-10,-6,7,-7
258,-3,-6,0,-4
259,0,-15,5,-6
260,-11,-5,7,-12
261,-4,4,-12,-2
262,-14,0,-4,0
263,-5,-11,9,-9
264,0,-23,7,-1
265,-17,9,-10,-4
266,-9,0,-1,-3
267,-12,-4,14,-9
268,-6,-8,9,-13
269,-15,18,-13,0
270,-9,7,-10,-4
271,-5,-3,4,-8
272,-12,8,-6,1
273,-4,0,-7,-2
274,-11,12,-5,-8
275,-1,-2,-9,2
276,0,-3,-3,-1
277,-2,-3,-1,2
278,-5,0,-4,-4
279,-10,7,-6,-1
280,-3,5,-1,-4
281,-1,-9,23,-1
282,-2,-9,38,-7
283,9,0,20,7
284,12,10,19,6
285,27,-3,34,19
286,23,11,27,23
287,29,17,28,35
288,24,25,26,38
289,27,11,41,33
290,23,14,40,31
291,30,15,36,27
292,14,20,19,38
293,12,17,9,33
294,7,23,9,24
295,0,5,25,9
296,13,-9,19,3
297,-6,13,-5,9
298,-5,10,1,4
299,-2,0,0,0
300,-3,-5,9,0
301,-1,-16,17,-4
302,-10,5,-2,-3
303,-1,-4,8,-2
304,-1,-6,7,0
305,5,-18,7,-3
306,-10,10,0,-2
307,-15,13,-3,-1
308,-5,-3,2,-6
309,-1,-7,14,-6
310,-9,-2,18,-14
311,3,-3,1,-2
312,-1,-20,12,-2
313,-3,-2,2,-8
314,-18,15,-4,0
315,-7,3,3,-7
316,-1,-21,25,-9
317,-9,1,-2,0
318,-12,13,-8,4
319,-10,-8,5,-8
320,-13,6,-2,-3
321,0,-12,6,-6
322,-4,-8,12,-6
323,-16,2,0,-3
324,-4,-2,0,-4
325,-16,5,-13,6
326,-7,-6,7,-4
327,-7,4,0,2
328,-9,11,-9,3
329,-15,4,1,1
330,3,-19,20,-11
331,-2,-18,17,-2
332,-4,9,-10,-3
333,-1,4,-3,-2
334,7,-26,15,-1
335,-4,3,7,3
336,0,-2,11,0
337,9,-12,8,0
338,4,-8,7,-2
339,-8,4,9,0
340,-3,4,1,9
341,3,-2,7,4
342,0,0,-1,8
343,-6,10,0,3
344,-5,15,-6,5
345,-5,6,0,4
346,0,-1,11,-2
347,-7,7,-4,1
348,1,-12,3,0
349,5,-19,21,-10
350,-7,-5,9,-4
351,-5,-2,0,-1
352,-11,14,0,1
353,-7,-2,2,-1
354,1,-8,9,-6
