1.000000000000000000e+00 9.981153918040883699e-01 3.634489997841979236e-01 3.454869034115651272e-01 3.614122531311756426e-01 9.932076029141958529e-01 9.653881512928741415e-01 9.885285024910756002e-01 9.885641547303595233e-01 9.883510004140297900e-01
9.981153918040883699e-01 1.000000000000000000e+00 3.642941362249852433e-01 3.435609902246023473e-01 3.599271282524076354e-01 9.913685992834723182e-01 9.644047837348165286e-01 9.871188352523079246e-01 9.869754364730242147e-01 9.858659795486753863e-01
3.634489997841979236e-01 3.642941362249852433e-01 1.000000000000000000e+00 9.973387022626185594e-01 9.772232021343392194e-01 3.670359729201582710e-01 3.455951242741101548e-01 3.654345455526739617e-01 3.703698163855443926e-01 3.654090891605055735e-01
3.454869034115651272e-01 3.435609902246023473e-01 9.973387022626185594e-01 1.000000000000000000e+00 9.793122159960304662e-01 3.492132200748875870e-01 3.287219123177484992e-01 3.482456181498416736e-01 3.536245826534446524e-01 3.475325647647858340e-01
3.614122531311756426e-01 3.599271282524076354e-01 9.772232021343392194e-01 9.793122159960304662e-01 1.000000000000000000e+00 3.766171697895703274e-01 3.772365160875491563e-01 3.761662488067831212e-01 3.814599052541223778e-01 3.745285024807248342e-01
9.932076029141958529e-01 9.913685992834723182e-01 3.670359729201582710e-01 3.492132200748875870e-01 3.766171697895703274e-01 1.000000000000000000e+00 9.696816264406216135e-01 9.935209069819452843e-01 9.940785126198166122e-01 9.919553183870456481e-01
9.653881512928741415e-01 9.644047837348165286e-01 3.455951242741101548e-01 3.287219123177484992e-01 3.772365160875491563e-01 9.696816264406216135e-01 1.000000000000000000e+00 9.801905710650534731e-01 9.790964340634160656e-01 9.725120049320962190e-01
9.885285024910756002e-01 9.871188352523079246e-01 3.654345455526739617e-01 3.482456181498416736e-01 3.761662488067831212e-01 9.935209069819452843e-01 9.801905710650534731e-01 1.000000000000000000e+00 9.987641972973055893e-01 9.934650877034911787e-01
9.885641547303595233e-01 9.869754364730242147e-01 3.703698163855443926e-01 3.536245826534446524e-01 3.814599052541223778e-01 9.940785126198166122e-01 9.790964340634160656e-01 9.987641972973055893e-01 1.000000000000000000e+00 9.946617042065191150e-01
9.883510004140297900e-01 9.858659795486753863e-01 3.654090891605055735e-01 3.475325647647858340e-01 3.745285024807248342e-01 9.919553183870456481e-01 9.725120049320962190e-01 9.934650877034911787e-01 9.946617042065191150e-01 1.000000000000000000e+00
