corAB,corBC,corAC
0.9464199048093499,0.6330869810953607,0.6122093226079192
0.9364360760115515,0.6274425272670916,0.6101071815173802
0.9299595684327101,0.6139645655295825,0.5941027987646591
0.9543626471295688,0.6118151423534406,0.5944345204960191
0.9523636010057664,0.6101683804633459,0.5979361250617019
0.9449163683554113,0.6256565416502596,0.6080455117723554
0.9424022881407037,0.6237703382185045,0.6069025121450929
0.9449135125779816,0.6247188971426368,0.6088389615975732
0.9454937161905266,0.6227422484482843,0.6058321129856971
0.9455127215954299,0.6194001695822278,0.6012938277820356
